,DISTRICT NAME,MONTH,USER ENGAGEMENT,FAMILY ENGAGEMENT,SCHOOL COUNT,PRACTICE
0,Paradise Unified School District,1,0.0,0.0,5,46.0
1,Paradise Unified School District,2,4.0,0.0,5,46.0
2,Paradise Unified School District,3,4.0,50.0,5,46.0
3,Paradise Unified School District,4,0.0,0.0,5,46.0
4,Paradise Unified School District,5,0.0,0.0,5,46.0
5,Paradise Unified School District,6,0.0,0.0,5,46.0
6,Paradise Unified School District,7,0.0,0.0,5,46.0
7,Paradise Unified School District,8,0.0,0.0,5,46.0
8,Paradise Unified School District,9,0.0,0.0,5,46.0
9,Paradise Unified School District,10,0.0,0.0,5,46.0
10,Paradise Unified School District,11,0.0,0.0,5,46.0
11,Paradise Unified School District,12,4.0,0.0,5,46.0
12,Early learning Sarasota,1,0.0,0.0,22,455.0
13,Early learning Sarasota,2,0.0,0.0,22,455.0
14,Early learning Sarasota,3,0.0,0.0,22,455.0
15,Early learning Sarasota,4,0.0,0.0,22,455.0
16,Early learning Sarasota,5,0.0,0.0,22,455.0
17,Early learning Sarasota,6,0.0,0.0,22,455.0
18,Early learning Sarasota,7,0.0,0.0,22,455.0
19,Early learning Sarasota,8,0.0,0.0,22,455.0
20,Early learning Sarasota,9,0.0,0.0,22,455.0
21,Early learning Sarasota,10,52.0,0.0,22,455.0
22,Early learning Sarasota,11,35.0,50.0,22,455.0
23,Early learning Sarasota,12,39.0,0.0,22,455.0
24,Racine Unified Schools,1,49.0,0.0,29,66167.0
25,Racine Unified Schools,2,50.0,0.0,29,66167.0
26,Racine Unified Schools,3,43.0,50.0,29,66167.0
27,Racine Unified Schools,4,2.0,50.0,29,66167.0
28,Racine Unified Schools,5,1.0,24.0,29,66167.0
29,Racine Unified Schools,6,0.0,4.0,29,66167.0
30,Racine Unified Schools,7,1.0,7.0,29,66167.0
31,Racine Unified Schools,8,7.0,3.0,29,66167.0
32,Racine Unified Schools,9,24.0,0.0,29,66167.0
33,Racine Unified Schools,10,30.0,0.0,29,66167.0
34,Racine Unified Schools,11,28.0,0.0,29,66167.0
35,Racine Unified Schools,12,26.0,0.0,29,66167.0
36,Wayne Metro,1,17.0,0.0,21,431.0
37,Wayne Metro,2,33.0,0.0,21,431.0
38,Wayne Metro,3,0.0,0.0,21,431.0
39,Wayne Metro,4,43.0,0.0,21,431.0
40,Wayne Metro,5,14.0,0.0,21,431.0
41,Wayne Metro,6,0.0,0.0,21,431.0
